作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL	順位スコア
000560	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/560_ruby_19002.zip	0
000561	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/561_ruby_19508.zip	0
000562	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/562_ruby_18950.zip	0
000563	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/563_ruby_19498.zip	0
000564	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/564_ruby_18952.zip	0
000565	旗本退屈男	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/565_ruby_4197.zip	0
000566	旗本退屈男	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/566_ruby_4091.zip	0
000567	旗本退屈男	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/567_ruby_4203.zip	0
000568	旗本退屈男	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/568_ruby_4205.zip	0
000569	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/569_ruby_19444.zip	0
000570	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/570_ruby_19520.zip	0
000596	響	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/596_ruby_22685.zip	0
000597	輝ける朝	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/597_ruby_5510.zip	0
000598	神楽阪の半襟	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/598_txt_22636.zip	0
000599	道	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/599_ruby_22687.zip	0
000600	女	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/600_txt_22628.zip	0
000601	四十余日	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/601_ruby_22663.zip	0
