作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL
042151	シュリーマン夫人を憶ふ	浜田	青陵	旧字旧仮名	NDC 289 915	https://www.aozora.gr.jp/cards/001054/files/42151_ruby_15588.zip
042153	考古学教室の思ひ出話	浜田	青陵	旧字旧仮名	NDC 210 915	https://www.aozora.gr.jp/cards/001054/files/42153_txt_15587.zip
042154	石鏃の思出話	浜田	青陵	旧字旧仮名	NDC 210 915	https://www.aozora.gr.jp/cards/001054/files/42154_txt_15589.zip
042155	埃及雑記	浜田	青陵	旧字旧仮名	NDC 294 915	https://www.aozora.gr.jp/cards/001054/files/42155_ruby_15585.zip
042157	接吻	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/42157_ruby_14140.zip
042158	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42158_ruby_17612.zip
042167	墓	正岡	子規	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000305/files/42167_txt_12294.zip
042168	夜寒十句	正岡	子規	新字旧仮名	NDC 911 914	https://www.aozora.gr.jp/cards/000305/files/42168_ruby_12296.zip
042174	水郷	三島	霜川	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000022/files/42174_ruby_13147.zip
042184	神曲	ダンテ	アリギエリ	旧字旧仮名	NDC 971	https://www.aozora.gr.jp/cards/000961/files/42184_ruby_16541.zip
042215	鎌倉時代の布教と当時の交通	原	勝郎	旧字旧仮名	NDC 182 210	https://www.aozora.gr.jp/cards/001037/files/42215_txt_17080.zip
042216	一兵卒と銃	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/42216_ruby_13474.zip
042217	死せる魂	ゴーゴリ	ニコライ	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000207/files/42217_ruby_59963.zip
042225	「一握の砂」序	藪野	椋十	新字旧仮名	NDC 911 914	https://www.aozora.gr.jp/cards/001080/files/42225_ruby_13289.zip
042232	新詩発生時代の思ひ出	土井	晩翠	旧字旧仮名	NDC 914 911 902	https://www.aozora.gr.jp/cards/001081/files/42232_ruby_23379.zip
042233	天地有情	土井	晩翠	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/001081/files/42233_ruby_37101.zip
042237	釈迢空に与ふ	斎藤	茂吉	旧字旧仮名	NDC 911 914	https://www.aozora.gr.jp/cards/001059/files/42237_ruby_14542.zip
042242	漱石さんのロンドンにおけるエピソード	土井	晩翠	新字旧仮名	NDC 910	https://www.aozora.gr.jp/cards/001081/files/42242_ruby_16187.zip
042248	生みの力	片上	伸	旧字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000492/files/42248_ruby_48039.zip
042251	ドストイェフスキーに就いて	片上	伸	旧字旧仮名	NDC 980	https://www.aozora.gr.jp/cards/000492/files/42251_txt_48040.zip
042252	人間の本性	片上	伸	旧字旧仮名	NDC 980	https://www.aozora.gr.jp/cards/000492/files/42252_txt_48041.zip
042253	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42253_ruby_17620.zip
042254	平民の娘	三島	霜川	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000022/files/42254_ruby_59590.zip
042284	狂人日記	ゴーゴリ	ニコライ	旧字旧仮名	NDC 983	https://www.aozora.gr.jp/cards/000207/files/42284_ruby_16271.zip
042285	歌時計	水谷	まさる	旧字旧仮名	NDC K911	https://www.aozora.gr.jp/cards/001074/files/42285_ruby_23618.zip
042286	カラマゾフの兄弟	ドストエフスキー	フィヨードル・ミハイロヴィチ	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000363/files/42286_ruby_36920.zip
042289	六月	相馬	泰三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001082/files/42289_ruby_15591.zip
042290	初恋	矢崎	嵯峨の舎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001083/files/42290_ruby_23163.zip
042293	ジエィン・エア	十一谷	義三郎	旧字旧仮名	NDC 933 934	https://www.aozora.gr.jp/cards/000601/files/42293_ruby_64231.zip
042294	怪奇人造島	寺島	柾史	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/001084/files/42294_ruby_23548.zip
042298	小さな旅	富田	木歩	新字新仮名	NDC 911 914	https://www.aozora.gr.jp/cards/000677/files/42298_txt_23363.zip
042307	若草物語	オルコット	ルイーザ・メイ	新字新仮名	NDC K933	https://www.aozora.gr.jp/cards/001090/files/42307_txt_24297.zip
042309	ラプンツェル	グリム	ヴィルヘルム・カール	新字新仮名	NDC K943	https://www.aozora.gr.jp/cards/001091/files/42309_ruby_17938.zip
042317	杜松の樹	グリム	ヴィルヘルム・カール	新字新仮名	NDC K943	https://www.aozora.gr.jp/cards/001091/files/42317_ruby_18234.zip
042338	盗まれた手紙	佐々木	直次郎	新字新仮名	NDC 933	https://www.aozora.gr.jp/cards/000094/files/42338_ruby_15461.zip
042344	南方	田畑	修一郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000273/files/42344_ruby_15715.zip
042347	静物	十一谷	義三郎	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000601/files/42347_ruby_23608.zip
042348	山の手の子	水上	滝太郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000800/files/42348_ruby_23272.zip
042349	武蔵野	山田	美妙	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000843/files/42349_ruby_23258.zip
042378	赤いくつ	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42378_ruby_18383.zip
042379	しっかり者のすずの兵隊	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42379_ruby_20835.zip
042380	幸福のうわおいぐつ	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42380_ruby_20836.zip
042381	小夜啼鳥	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42381_ruby_18649.zip
042382	旅なかま	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42382_ruby_17311.zip
042383	人魚のひいさま	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42383_ruby_19889.zip
042384	野のはくちょう	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42384_ruby_20838.zip
042385	ひこうかばん	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42385_ruby_20839.zip
042386	醜い家鴨の子	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42386_ruby_20867.zip
042387	雪の女王	アンデルセン	ハンス・クリスチャン	新字新仮名	NDC K949	https://www.aozora.gr.jp/cards/000019/files/42387_ruby_20531.zip
042389	蠱惑	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42389_ruby_21013.zip
042390	恩人	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42390_ruby_32945.zip
042391	囚われ	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42391_ruby_32955.zip
042392	球突場の一隅	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42392_ruby_32953.zip
042393	過渡人	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42393_ruby_40359.zip
042394	少年の死	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42394_ruby_32948.zip
042395	運命のままに	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42395_ruby_40360.zip
042396	生あらば	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42396_ruby_32949.zip
042397	田原氏の犯罪	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42397_ruby_32952.zip
042398	生と死との記録	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42398_ruby_32950.zip
042399	掠奪せられたる男	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42399_ruby_40363.zip
042400	蘇生	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42400_ruby_32951.zip
042401	微笑	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42401_ruby_32957.zip
042402	楠の話	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42402_ruby_40361.zip
042403	群集	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42403_ruby_32946.zip
042404	愚かな一日	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42404_ruby_32944.zip
042405	二つの途	豊島	与志雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000906/files/42405_ruby_32958.zip
042614	夜長姫と耳男	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42614_ruby_21833.zip
042615	風と光と二十の私と	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42615_ruby_21263.zip
042616	風博士	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42616_ruby_20999.zip
042617	肝臓先生	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42617_ruby_29709.zip
042618	桜の森の満開の下	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42618_ruby_21052.zip
042619	続堕落論	坂口	安吾	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001095/files/42619_ruby_21408.zip
042620	堕落論	坂口	安吾	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001095/files/42620_ruby_21051.zip
042621	白痴	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42621_ruby_21262.zip
042622	飛騨の顔	坂口	安吾	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/001095/files/42622_ruby_29708.zip
042623	勉強記	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42623_ruby_21403.zip
042624	青春論	坂口	安吾	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001095/files/42624_ruby_21405.zip
042625	日本文化私観	坂口	安吾	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001095/files/42625_ruby_21261.zip
042626	不連続殺人事件	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42626_ruby_59990.zip
042681	砂糖泥棒	黒島	伝治	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000037/files/42681_ruby_21510.zip
042686	大師の時代	榊	亮三郎	旧字旧仮名	NDC 188	https://www.aozora.gr.jp/cards/001096/files/42686_ruby_29726.zip
042687	後の業平文治	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/42687_ruby_14322.zip
042688	アド・バルーン	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/42688_ruby_45446.zip
042689	雨	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/42689_ruby_45447.zip
042690	蛍	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/42690_ruby_45448.zip
042692	次郎物語	下村	湖人	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001097/files/42692_ruby_21001.zip
042752	時と永遠	波多野	精一	旧字旧仮名	NDC 161	https://www.aozora.gr.jp/cards/001011/files/42752_ruby_24662.zip
042753	読書子に寄す	岩波	茂雄	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001119/files/42753_txt_14493.zip
042754	風は草木にささやいた	山村	暮鳥	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000136/files/42754_ruby_34852.zip
042755	雲	山村	暮鳥	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000136/files/42755_ruby_34854.zip
042756	四十八人目	森田	草平	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000826/files/42756_ruby_24294.zip
042757	虹猫と木精	ファイルマン	ローズ	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000809/files/42757_ruby_15095.zip
042758	虹猫の大女退治	ファイルマン	ローズ	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000809/files/42758_ruby_15096.zip
042759	虹猫の話	ファイルマン	ローズ	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000809/files/42759_ruby_15097.zip
042761	子良の昇天	宮原	晃一郎	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000809/files/42761_ruby_16132.zip
042762	漁師の冒険	宮原	晃一郎	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000809/files/42762_ruby_16131.zip
042763	ラマ塔の秘密	宮原	晃一郎	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000809/files/42763_ruby_16130.zip
042764	紫大納言	坂口	安吾	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001095/files/42764_ruby_32703.zip
042765	鉱毒飛沫	木下	尚江	新字旧仮名	NDC 312 368 071 561	https://www.aozora.gr.jp/cards/000525/files/42765_ruby_22803.zip
042766	政治の破産者・田中正造	木下	尚江	新字旧仮名	NDC 289 561	https://www.aozora.gr.jp/cards/000525/files/42766_ruby_22804.zip
042767	無人島に生きる十六人	須川	邦彦	新字新仮名	NDC K290	https://www.aozora.gr.jp/cards/001120/files/42767_ruby_15339.zip
042773	ロミオとヂュリエット	シェークスピア	ウィリアム	旧字旧仮名	NDC 932	https://www.aozora.gr.jp/cards/000264/files/42773_ruby_38390.zip
